userId,itemId,rating,timestamp
1,1,,881250949
1,2,3,891717742
1,3,1,878887116
1,4,,880606923
1,5,1,886397596
1,6,,884182806
1,7,,881171488
1,8,5,891628467
1,9,3,886324817
1,10,,883603013
1,11,2,879372434
1,12,,879781125
1,13,5,876042340
1,14,3,891035994
1,15,,888104457
1,16,3,879485318
1,17,,879270459
1,18,2,879539794
1,19,,874834944
1,20,2,892079237
1,21,4,886176814
1,22,4,892738452
1,23,,877881320
1,24,2,874833878
1,25,4,887736532
1,26,,879196566
1,27,5,892430094
1,28,,883748450
1,29,4,875747401
1,30,,876861185
1,31,3,877052329
1,32,,882075827
2,1,,879539727
2,2,4,880731963
2,3,,884238860
2,4,4,886890835
2,5,1,878962623
2,6,,891295330
2,7,1,874791932
2,8,4,891350932
2,9,,877888877
2,10,4,885329322
2,11,2,884114233
2,12,3,874791805
2,13,5,875333916
2,14,,884921594
2,15,5,879741196
2,16,,879641194
2,17,5,886519097
2,18,,882823437
2,19,4,886271884
2,20,2,876535131
2,21,,890618898
2,22,5,885853415
2,23,5,888205088
2,24,,880037164
2,25,,879877127
2,26,5,880474293
2,27,5,881107687
2,28,,881103977
2,29,3,881171009
2,30,,879667584
2,31,4,884112673
2,32,3,882141053
3,1,4,884920949
3,2,5,879024232
3,3,,892738341
3,4,5,883326620
3,5,,883698581
3,6,4,891550094
3,7,,893277702
3,8,3,879987440
3,9,1,890251826
3,10,3,884923047
3,11,,879546723
3,12,2,887249482
3,13,,882823954
3,14,3,886475558
3,15,,888906576
3,16,5,884364867
3,17,5,879539643
3,18,3,878192429
3,19,,879540748
3,20,3,874791025
3,21,,874835091
3,22,,878183381
3,23,5,878971773
3,24,3,881108684
3,25,,891903862
3,26,4,888954412
3,27,,879361873
3,28,4,877635573
3,29,4,879876194
3,30,,875296291
3,31,2,885557505
3,32,,874781198
4,1,4,879373848
4,2,,879375537
4,3,4,881961214
4,4,,879857765
4,5,,883709863
4,6,5,891383835
4,7,4,877531942
4,8,3,888905170
4,9,,880234639
4,10,,886397722
4,11,,878090499
4,12,5,885848672
4,13,,876860807
4,14,4,875320714
4,15,3,884207492
4,16,,881107178
4,17,5,884288058
4,18,,886987260
4,19,4,884304936
4,20,,891384754
4,21,4,885844430
4,22,3,879373460
4,23,,881375854
4,24,4,879376641
4,25,4,891720887
4,26,,879966895
4,27,4,884182806
4,28,5,878347874
4,29,,886122352
4,30,2,879524643
4,31,5,880037702
4,32,,883815120
5,1,3,878089182
5,2,3,890687042
5,3,,888082216
5,4,3,878769629
5,5,4,879791710
5,6,,888904884
5,7,,880245029
5,8,3,878092059
5,9,5,888205300
5,10,5,877533771
5,11,,880605185
5,12,4,891352010
5,13,1,886434402
5,14,4,879876734
5,15,,879551380
5,16,2,884714402
5,17,,882139746
5,18,4,884538403
5,19,2,880605157
5,20,5,886323090
5,21,,888954930
5,22,,883955745
5,23,4,889502823
5,24,3,883698454
5,25,3,883452363
5,26,,891449922
5,27,3,877878184
5,28,4,879525876
5,29,4,876860807
5,30,,885678247
5,31,4,877886846
5,32,4,874724988
6,1,,879456350
6,2,,879467295
6,3,5,878870987
6,4,3,891387947
6,5,,891383204
6,6,2,888067405
6,7,3,881108425
6,8,,879371261
6,9,4,876973939
6,10,4,875537965
6,11,,885412840
6,12,4,875744136
6,13,3,875636053
6,14,,886324028
6,15,4,883612356
6,16,,875975656
6,17,,875298353
6,18,5,887401701
6,19,4,886472768
6,20,3,884183336
6,21,1,892174404
6,22,,883601324
6,23,3,880130193
6,24,2,875542174
6,25,,885680138
6,26,4,881515011
6,27,3,891347949
6,28,,891353086
6,29,4,878183481
6,30,5,884128554
6,31,,876923913
6,32,5,878955442
7,1,3,874786392
7,2,,891723086
7,3,4,875801662
7,4,,892428688
7,5,3,876857977
7,6,3,888906966
7,7,2,891385985
7,8,,875216545
7,9,3,886443455
7,10,4,882164999
7,11,,878542420
7,12,4,880036718
7,13,3,892910207
7,14,4,882140926
7,15,,879455957
7,16,3,875654637
7,17,,884386343
7,18,,881105481
7,19,5,888549622
7,20,,886272175
7,21,3,888104153
7,22,,878962392
7,23,4,874724710
7,24,4,886323648
7,25,3,882922806
7,26,,891170769
7,27,,877399018
7,28,2,892838559
7,29,5,884238860
7,30,,884304936
7,31,4,887665548
7,32,4,891383319
8,1,,879455113
8,2,3,879521396
8,3,,879454628
8,4,1,886987605
8,5,4,877877775
8,6,5,879524921
8,7,,891446165
8,8,5,883599249
8,9,3,880937882
8,10,,879467542
8,11,1,877727122
8,12,4,882078621
8,13,,874793035
8,14,2,886323068
8,15,2,879541148
8,16,,891438397
8,17,,879875940
8,18,4,877819599
8,19,,877531791
8,20,5,884128458
8,21,1,891632142
8,22,,882826555
8,23,2,879484804
8,24,4,879374686
8,25,,876018608
8,26,,875653271
8,27,4,882078040
8,28,5,882157581
8,29,,884150257
8,30,3,875747190
8,31,3,881961671
8,32,,875307407
9,1,,878089716
9,2,3,890881335
9,3,3,889502324
9,4,3,879525876
9,5,,879485532
9,6,5,874775038
9,7,5,879966498
9,8,,875742942
9,9,2,875744173
9,10,4,883601089
9,11,5,879394264
9,12,4,880308578
9,13,,891542540
9,14,2,881368243
9,15,4,891374868
9,16,1,875744501
9,17,,882076587
9,18,5,879283786
9,19,,892334609
9,20,4,880308755
9,21,2,878961624
9,22,4,875240090
9,23,,892430369
9,24,,891352093
9,25,4,886122952
9,26,1,878961814
9,27,1,884140579
9,28,,879456199
9,29,3,891450023
9,30,,888205855
9,31,4,889651549
9,32,,889124507
